Tickers,Name,Asset Class
TQQQ,ProShares UltraPro QQQ,Equity
SOXL,Direxion Daily Semiconductor Bull 3x Shares,Equity
SPXL,Direxion Daily S&P 500 Bull 3X Shares,Equity
UPRO,ProShares UltraPro S&P500,Equity
FAS,Direxion Daily Financial Bull 3X Shares,Equity
TECL,Direxion Daily Technology Bull 3X Shares,Equity
LABU,Direxion Daily S&P Biotech Bull 3x Shares,Equity
TNA,Direxion Daily Small Cap Bull 3X Shares,Equity
FNGU,MicroSectors FANG+â„¢ Index 3X Leveraged ETN,Equity
UDOW,ProShares UltraPro Dow30,Equity
YINN,Direxion Daily FTSE China Bull 3X Shares,Equity
TMF,Direxion Daily 20+ Year Treasury Bull 3X Shares,Bond
URTY,ProShares UltraPro Russell2000,Equity
DPST,Direxion Daily Regional Banks Bull 3X Shares,Equity
CURE,Direxion Daily Healthcare Bull 3x Shares,Equity
DFEN,Direxion Daily Aerospace & Defense Bull 3X Shares,Equity
NAIL,Direxion Daily Homebuilders & Supplies Bull 3X Shares,Equity
EDC,Direxion Daily MSCI Emerging Markets Bull 3x Shares,Equity
BNKU,MicroSectors U.S. Big Banks Index 3X Leveraged ETNs,Equity
INDL,Direxion Daily MSCI India Bull 2X Shares,Equity
DRN,Direxion Daily Real Estate Bull 3x Shares,Real Estate
RETL,Direxion Daily Retail Bull 3X Shares,Equity
MIDU,Direxion Daily Mid Cap Bull 3X Shares,Equity
WANT,Direxion Daily Consumer Discretionary Bull 3X Shares,Equity
TPOR,Direxion Daily Transportation Bull 3X Shares,Equity
UMDD,ProShares UltraPro MidCap400,Equity
TYD,Direxion Daily 7-10 Year Treasury Bull 3x Shares,Bond
DUSL,Direxion Daily Industrials Bull 3X Shares,Equity
UTSL,Direxion Daily Utilities Bull 3X Shares,Equity
KORU,Direxion MSCI Daily South Korea Bull 3X Shares,Equity
EURL,Direxion Daily FTSE Europe Bull 3x Shares,Equity
PILL,Direxion Daily Pharmaceutical & Medical Bull 3X Shares,Equity
UBOT,"Direxion Daily Robotics, Artificial Intelligence & Automation Index Bull 2X Shares",Equity
MEXX,Direxion Daily MSCI Mexico Bull 3X Shares,Equity
